date,day,month,year,pm_2_5
2021-12-23,23,12,2021,18.891611406873466
2021-12-24,24,12,2021,24.9451509773751
2021-12-25,25,12,2021,16.844576305393243
2021-12-26,26,12,2021,14.65571690923024
2021-12-27,27,12,2021,19.69962075596181
2021-12-28,28,12,2021,20.408795376223065
2021-12-29,29,12,2021,16.52736562779966
2021-12-30,30,12,2021,6.554047625179075
2021-12-31,31,12,2021,7.032724916151746
2022-01-01,1,1,2022,11.488948343177505
2022-01-02,2,1,2022,17.269961261648827
2022-01-03,3,1,2022,14.421111242901368
2022-01-04,4,1,2022,13.329157804925236
2022-01-05,5,1,2022,15.291162422975049
2022-01-06,6,1,2022,13.426330028054384
2022-01-07,7,1,2022,16.69671783445128
2022-01-08,8,1,2022,12.633205306704
2022-01-09,9,1,2022,14.081390982299087
2022-01-10,10,1,2022,19.08165814830977
2022-01-11,11,1,2022,22.52312511386765
2022-01-12,12,1,2022,16.581563882741953
2022-01-13,13,1,2022,14.423529962778256
2022-01-14,14,1,2022,18.28216664793249
2022-01-15,15,1,2022,17.97401965479457
2022-01-16,16,1,2022,16.30596670423639
2022-01-17,17,1,2022,17.840413692415805
2022-01-18,18,1,2022,21.748795021076926
2022-01-19,19,1,2022,25.820404516632763
2022-01-20,20,1,2022,18.34007832829727
2022-01-21,21,1,2022,15.452106544842673
2022-01-22,22,1,2022,13.422008337816642
2022-01-23,23,1,2022,16.815557864614107
2022-01-24,24,1,2022,20.827152405753534
2022-01-25,25,1,2022,21.403647011082363
2022-01-26,26,1,2022,23.838903606130643
2022-01-27,27,1,2022,24.84097133790017
2022-01-28,28,1,2022,24.72868003151877
2022-01-29,29,1,2022,26.814540034845216
2022-01-30,30,1,2022,26.65433158356825
2022-01-31,31,1,2022,23.1250671302288
2022-02-01,1,2,2022,23.780796353315417
2022-02-02,2,2,2022,15.520497706728104
2022-02-03,3,2,2022,9.093587243435962
2022-02-04,4,2,2022,13.558313370027625
2022-02-05,5,2,2022,13.70998687691476
2022-02-06,6,2,2022,8.53977331031487
2022-02-07,7,2,2022,12.045561438284135
2022-02-08,8,2,2022,11.480891385731876
2022-02-09,9,2,2022,13.421688625946038
2022-02-10,10,2,2022,16.813378212414065
2022-02-11,11,2,2022,20.10768676622115
2022-02-12,12,2,2022,23.82675568724417
2022-02-13,13,2,2022,15.109301672612116
2022-02-14,14,2,2022,12.460380560361116
2022-02-15,15,2,2022,5.737183289646201
2022-02-16,16,2,2022,7.113743173751468
2022-02-17,17,2,2022,7.5319637975802465
2022-02-18,18,2,2022,8.260988988400245
2022-02-19,19,2,2022,9.931292722110198
2022-02-20,20,2,2022,14.907539052650325
2022-02-21,21,2,2022,15.05197737769806
2022-02-22,22,2,2022,16.249055971054613
2022-02-23,23,2,2022,11.872361861414914
2022-02-24,24,2,2022,9.439932190611412
