Unnamed: 0,timestamp,timezone,humidity,pm_10,pm_2_5,temperature
0,2021-02-11 12:00:00,Asia/Bangkok,67.06506770114943,9.659090909090908,9.056818181818182,33.21427000000001
1,2021-02-11 13:00:00,Asia/Bangkok,65.77549894736845,8.405172413793103,7.793103448275862,33.88310622807018
2,2021-02-11 14:00:00,Asia/Bangkok,64.68579166666662,7.025862068965517,6.603448275862069,34.05445421052632
3,2021-02-11 15:00:00,Asia/Bangkok,65.5153996551724,7.594827586206897,7.077586206896552,33.81270818965517
4,2021-02-11 16:00:00,Asia/Bangkok,66.95079749999995,8.758620689655173,8.017241379310345,33.09967955357144
5,2021-02-11 17:00:00,Asia/Bangkok,67.58789309734514,7.724137931034483,7.155172413793103,32.71297327433629
6,2021-02-11 18:00:00,Asia/Bangkok,70.69531719298247,8.6,8.02608695652174,31.52410421052631
7,2021-02-11 19:00:00,Asia/Bangkok,75.34691575221237,10.4017094017094,9.82905982905983,29.83152265486726
8,2021-02-11 20:00:00,Asia/Bangkok,77.31872339130436,11.4051724137931,10.75,29.27206026086957
9,2021-02-11 21:00:00,Asia/Bangkok,78.75735385964917,13.23478260869565,12.30434782608696,28.95438513043477
10,2021-02-11 22:00:00,Asia/Bangkok,79.28305236842104,11.69565217391304,10.99130434782609,28.72768780701755
11,2021-02-11 23:00:00,Asia/Bangkok,80.07700285714284,11.38793103448276,10.71551724137931,28.52190124999997
12,2021-02-12 00:00:00,Asia/Bangkok,80.4545855263158,12.77391304347826,11.98260869565217,28.42949754385966
13,2021-02-12 01:00:00,Asia/Bangkok,80.71002260869567,12.51724137931035,11.8448275862069,28.32899530434784
14,2021-02-12 02:00:00,Asia/Bangkok,80.92602347826087,12.27586206896552,11.63793103448276,28.1453435652174
15,2021-02-12 03:00:00,Asia/Bangkok,81.28950478260869,14.38793103448276,13.56896551724138,28.07073817391302
16,2021-02-12 04:00:00,Asia/Bangkok,81.63298562500005,11.57758620689655,10.8448275862069,28.02476562499998
17,2021-02-12 05:00:00,Asia/Bangkok,82.20684445454548,11.06194690265487,10.46017699115044,27.85472936363637
18,2021-02-12 06:00:00,Asia/Bangkok,82.23676481818177,11.47321428571429,10.64285714285714,27.71905245454547
19,2021-02-12 07:00:00,Asia/Bangkok,83.03451108108106,11.16379310344828,10.41379310344828,27.65676261261258
20,2021-02-12 08:00:00,Asia/Bangkok,81.4414139473684,11.08620689655172,10.42241379310345,28.10987771929825
21,2021-02-12 09:00:00,Asia/Bangkok,80.3556289473684,11.30172413793103,10.64655172413793,28.75429692982456
22,2021-02-12 10:00:00,Asia/Bangkok,74.58916469026549,8.97391304347826,8.347826086956522,30.93387115044247
23,2021-02-12 11:00:00,Asia/Bangkok,69.01285734513273,9.852173913043478,9.104347826086956,32.97095566371682
24,2021-02-12 12:00:00,Asia/Bangkok,68.98984735042737,8.282051282051283,7.598290598290598,32.98905376068376
25,2021-02-12 13:00:00,Asia/Bangkok,69.70530548672566,8.104347826086956,7.6,33.11718601769913
26,2021-02-12 14:00:00,Asia/Bangkok,69.11432285714285,7.525862068965517,6.974137931034483,32.66966062500001
27,2021-02-12 15:00:00,Asia/Bangkok,68.2093820535714,7.793103448275862,7.241379310344827,33.22897714285712
28,2021-02-12 16:00:00,Asia/Bangkok,65.65086266055046,8.827586206896552,8.155172413793103,34.14043990825685
29,2021-02-12 17:00:00,Asia/Bangkok,67.22951873873875,9.077586206896552,8.525862068965518,33.43768684684684
30,2021-02-12 18:00:00,Asia/Bangkok,69.85863991228074,9.709401709401709,9.14655172413793,32.32220315789474
31,2021-02-12 19:00:00,Asia/Bangkok,75.04114221238935,10.87068965517241,10.0,30.51328398230089
32,2021-02-12 20:00:00,Asia/Bangkok,78.43228201754386,10.21739130434783,9.643478260869566,29.2490065789474
33,2021-02-12 21:00:00,Asia/Bangkok,78.84475964912279,10.66379310344828,9.836206896551724,29.05512728070175
34,2021-02-12 22:00:00,Asia/Bangkok,78.84708948275858,10.64655172413793,9.887931034482758,28.82946129310345
35,2021-02-12 23:00:00,Asia/Bangkok,80.35456265486727,12.62068965517241,11.94827586206897,28.49113840707962
36,2021-02-13 00:00:00,Asia/Bangkok,80.66837160714284,14.20689655172414,13.46551724137931,28.2762524107143
37,2021-02-13 01:00:00,Asia/Bangkok,80.37479267241379,17.86206896551724,16.83620689655172,28.08162810344825
38,2021-02-13 02:00:00,Asia/Bangkok,80.09859991304349,17.22222222222222,16.15384615384615,28.00950686956523
39,2021-02-13 03:00:00,Asia/Bangkok,81.22489554545454,16.74782608695652,15.78260869565217,27.7861999090909
40,2021-02-13 04:00:00,Asia/Bangkok,81.06376849557525,19.12931034482759,18.08620689655172,27.53168504424778
41,2021-02-13 05:00:00,Asia/Bangkok,81.5170156637168,17.91452991452991,17.00854700854701,27.27838123893807
42,2021-02-13 06:00:00,Asia/Bangkok,84.72101901785719,20.63793103448276,19.32758620689655,26.47542910714285
43,2021-02-13 07:00:00,Asia/Bangkok,87.93105893805306,26.97368421052632,25.41228070175439,25.86670035398229
44,2021-02-13 08:00:00,Asia/Bangkok,87.18612885964912,31.92241379310345,28.72413793103448,26.30359061403509
45,2021-02-13 09:00:00,Asia/Bangkok,74.29297842105264,19.25438596491228,18.19298245614035,29.59254799999998
46,2021-02-13 10:00:00,Asia/Bangkok,69.74611175438595,18.33628318584071,17.54867256637168,31.1821148245614
47,2021-02-13 11:00:00,Asia/Bangkok,65.99651159292038,17.47413793103448,16.67241379310345,32.54775598214287
