Unnamed: 0,timestamp,timezone,humidity,pm_2_5,pm_2_5_sp,temperature
0,2022-03-10 07:00:00.000,Asia/Bangkok,68.92553889479275,13.37406340057637,13.37463976945245,29.99599362380449
1,2022-03-11 07:00:00.000,Asia/Bangkok,,17.1076512455516,17.19395017793594,
2,2022-03-30 07:00:00.000,Asia/Bangkok,,20.19756097560976,20.9780487804878,
3,2022-03-31 07:00:00.000,Asia/Bangkok,,10.81267217630854,10.9504132231405,
4,2022-04-13 07:00:00.000,Asia/Bangkok,,35.19121734296832,39.82267926625903,
5,2022-04-14 07:00:00.000,Asia/Bangkok,,34.74657125819917,39.02683363148479,
6,2022-04-15 07:00:00.000,Asia/Bangkok,,30.41066666666667,33.26019047619047,
7,2022-04-16 07:00:00.000,Asia/Bangkok,,27.97809377401999,29.25518831667948,
8,2022-04-17 07:00:00.000,Asia/Bangkok,100.0,27.54179566563467,28.45820433436533,-5.389170363797599
9,2022-04-18 07:00:00.000,Asia/Bangkok,100.0,26.51042092357989,28.08173273395995,-5.389999999999993
10,2022-04-19 07:00:00.000,Asia/Bangkok,,25.56264682850431,26.35003915426782,
11,2022-04-20 07:00:00.000,Asia/Bangkok,,17.52640783490731,17.72962574326688,
12,2022-04-21 07:00:00.000,Asia/Bangkok,,14.3301775147929,14.36094674556213,
13,2022-04-22 07:00:00.000,Asia/Bangkok,,11.43855606758833,11.49539170506912,
14,2022-04-23 07:00:00.000,Asia/Bangkok,,8.36890595009597,8.36890595009597,
15,2022-04-24 07:00:00.000,Asia/Bangkok,,11.04275862068966,11.04275862068966,
16,2022-04-30 07:00:00.000,Asia/Bangkok,,15.69230769230769,15.71005917159763,
17,2022-05-01 07:00:00.000,Asia/Bangkok,,17.26525054466231,18.29193899782135,
18,2022-05-02 07:00:00.000,Asia/Bangkok,,10.31073703366697,10.31847133757962,
19,2022-05-03 07:00:00.000,Asia/Bangkok,,12.87457191780822,13.21703767123288,
20,2022-05-04 07:00:00.000,Asia/Bangkok,,9.49924924924925,9.571696696696696,
21,2022-05-05 07:00:00.000,Asia/Bangkok,,11.34183673469388,11.37362637362637,
22,2022-05-06 07:00:00.000,Asia/Bangkok,,11.32476993865031,11.33703987730061,
23,2022-05-07 07:00:00.000,Asia/Bangkok,,13.55747789311803,13.81776239907728,
24,2022-05-08 07:00:00.000,Asia/Bangkok,,16.95519262981574,17.56155778894473,
25,2022-05-09 07:00:00.000,Asia/Bangkok,,12.88931591083782,12.92159877017679,
26,2022-05-10 07:00:00.000,Asia/Bangkok,,5.863723608445298,5.863723608445298,
27,2022-05-11 07:00:00.000,Asia/Bangkok,,13.15518441196938,13.22999304105776,
28,2022-05-12 07:00:00.000,Asia/Bangkok,,14.56825657894737,14.67680921052632,
29,2022-05-13 07:00:00.000,Asia/Bangkok,,15.74350779065122,15.76228525769077,
30,2022-05-14 07:00:00.000,Asia/Bangkok,,12.50214408233276,12.50857632933105,
31,2022-05-15 07:00:00.000,Asia/Bangkok,,7.684759916492693,7.684759916492693,
32,2022-05-16 07:00:00.000,Asia/Bangkok,,6.547357926221336,6.547357926221336,
33,2022-05-17 07:00:00.000,Asia/Bangkok,,6.025700038358266,6.065209052550824,
34,2022-05-18 07:00:00.000,Asia/Bangkok,,3.187687045746045,3.187687045746045,
35,2022-05-19 07:00:00.000,Asia/Bangkok,,10.99116743471582,11.03456221198157,
36,2022-05-20 07:00:00.000,Asia/Bangkok,,8.106211656441717,8.106211656441717,
37,2022-05-21 07:00:00.000,Asia/Bangkok,,7.597701149425287,7.700766283524904,
38,2022-05-22 07:00:00.000,Asia/Bangkok,,8.267762203963267,8.269212179797004,
39,2022-05-23 07:00:00.000,Asia/Bangkok,,5.61488300728807,5.61488300728807,
40,2022-05-24 07:00:00.000,Asia/Bangkok,,4.554451166810717,4.571737251512532,
41,2022-05-25 07:00:00.000,Asia/Bangkok,,9.366143240137879,9.366143240137879,
42,2022-05-26 07:00:00.000,Asia/Bangkok,,7.41573994867408,7.41830624465355,
43,2022-05-27 07:00:00.000,Asia/Bangkok,,5.230062832286128,5.231029482841953,
44,2022-05-28 07:00:00.000,Asia/Bangkok,,2.425296442687747,2.426086956521739,
45,2022-05-29 07:00:00.000,Asia/Bangkok,72.42314605133272,4.44502985598876,4.445381102915349,27.87902764067131
46,2022-05-30 07:00:00.000,Asia/Bangkok,75.88547753472207,4.600347222222222,4.613194444444445,27.42601736111108
47,2022-05-31 07:00:00.000,Asia/Bangkok,74.7353411243913,6.379814077025232,6.389110225763612,28.07229305002212
48,2022-06-01 07:00:00.000,Asia/Bangkok,67.6748677203421,5.447378207512086,5.447378207512086,29.57055782818881
49,2022-06-02 07:00:00.000,Asia/Bangkok,68.19797258512858,6.229325920778319,6.23002084781098,29.57566018068104
50,2022-06-03 07:00:00.000,Asia/Bangkok,64.88454431699684,5.537712895377129,5.555092109836635,29.91071254779287
51,2022-06-04 07:00:00.000,Asia/Bangkok,67.32035464024999,10.94925269377824,11.1936044490789,30.44096628432395
52,2022-06-05 07:00:00.000,Asia/Bangkok,73.50418814719713,9.248181429182713,9.600342319212666,28.44037655113395
53,2022-06-06 07:00:00.000,Asia/Bangkok,74.60165172811058,6.544162826420891,6.546850998463902,28.29812211981564
54,2022-06-07 07:00:00.000,Asia/Bangkok,70.93441260854468,8.590830149357416,8.771795762417506,28.79591524835014
55,2022-06-08 07:00:00.000,Asia/Bangkok,69.54229035824837,10.61432994250332,10.89783281733746,29.34468819106585
